# CMUdict-derived US English IPA. Source: cmusphinx/cmudict (BSD-2-Clause,
# Copyright (C) 1993-2015 Carnegie Mellon University). See THIRD_PARTY_NOTICES.md.
# Format: word<TAB>ipa1;ipa2;...   Generated by tools/make_ipa_dict.py — do not edit by hand.
a	ə;ˈeɪ
a's	ˈeɪz
aaa	ˌtrɪpəˈleɪ
aaberg	ˈɑːbərɡ
aachen	ˈɑːkən
aachener	ˈɑːkənər
aaker	ˈɑːkər
aalborg	ˈɑːlbɔːrɡ
aalen	ˈɑːlən
aaliyah	ˌɑːˈliːˌɑː
aalseth	ˈɑːlseθ
aamodt	ˈɑːmət
aancor	ˈɑːnˌkɔːr
aardema	ɑːrˈdemə
aardvark	ˈɑːrdˌvɑːrk
aardvarks	ˈɑːrdˌvɑːrks
aargh	ˈɑːrɡ
aarhus	ˌɑːˈhuːs
aaron	ˈerən
aaron's	ˈerənz
aarons	ˈerənz
aaronson	ˈerənsən;ˈɑːrənsən
aaronson's	ˈerənsənz;ˈɑːrənsənz
aarti	ˈɑːrˌtiː
aase	ˈɑːs
aasen	ˈɑːsən
ab	ˈæb;ˌeɪˈbiː
aba	ˌeɪˌbiːˈeɪ
ababa	əˈbɑːbə;ˈɑːbəbə
abacha	ˈæbəkə
aback	əˈbæk
abaco	ˈæbəˌkoʊ
abacus	ˈæbəkəs
abad	əˈbɑːd
abadaka	əˈbædəkə
abadi	əˈbædi
abadie	əˈbædi
abair	əˈber
abalkin	əˈbɑːlkɪn
abalone	ˌæbəˈloʊni
abalones	ˌæbəˈloʊniz
abalos	ɑːˈbɑːloʊz
abandon	əˈbændən
abandoned	əˈbændənd
abandoning	əˈbændənɪŋ
abandonment	əˈbændənmənt
abandonments	əˈbændənmənts
abandons	əˈbændənz
abanto	əˈbæntoʊ
abarca	əˈbɑːrkə
abare	ɑːˈbɑːri
abascal	ˈæbəskəl
abash	əˈbæʃ
abashed	əˈbæʃt
abasia	əˈbeɪʒjə
abate	əˈbeɪt
abated	əˈbeɪtɪd
abatement	əˈbeɪtmənt
abatements	əˈbeɪtmənts
abates	əˈbeɪts
abating	əˈbeɪtɪŋ
abattoir	ˌæbəˈtwɑːr
abba	ˈæbə
abbado	əˈbɑːdoʊ
abbas	əˈbɑːs
abbasi	ɑːˈbɑːsi
abbate	ˈɑːbeɪt
abbatiello	ɑːbɑːtiˈeloʊ
abbe	ˈæbi;æˈbeɪ
abbenhaus	ˈæbənˌhaʊs
abbett	əˈbet
abbeville	ˈæbvɪl
abbey	ˈæbi
abbey's	ˈæbiz
abbie	ˈæbi
abbitt	ˈæbɪt
abbot	ˈæbət
abbotstown	ˌæbətˈstaʊn
abbott	ˈæbət
abbott's	ˈæbəts
abbottstown	ˌæbətˈstaʊn
abboud	əˈbuːd;əˈbaʊd
abbreviate	əˈbriːviˌeɪt
abbreviated	əˈbriːviˌeɪtɪd
abbreviates	əˈbriːviˌeɪts
abbreviating	əˈbriːviˌeɪtɪŋ
abbreviation	əˌbriːviˈeɪʃən
abbreviations	əˌbriːviˈeɪʃənz
abbruzzese	ɑːbrutˈseɪzi
abbs	ˈæbz
abby	ˈæbi
abc	ˈeɪˌbiːˌsiː
abc's	ˈeɪˌbiːˌsiːz
abco	ˈæbkoʊ
abcotek	ˈæbkoʊˌtek
abcs	ˈeɪˌbiːˌsiːz
abd	ˌeɪˌbiːˈdiː
abdalla	ˌæbˈdælə
abdallah	ˌæbˈdælə
abdel	ˈæbˌdel
abdella	ˌæbˈdelə
abdicate	ˈæbdəˌkeɪt
abdicated	ˈæbdəˌkeɪtɪd
abdicates	ˈæbdəˌkeɪts
abdicating	ˈæbdɪˌkeɪtɪŋ
abdication	ˌæbdɪˈkeɪʃən
abdnor	ˈæbdnər
abdo	ˈæbdoʊ
abdollah	ˌæbˈdɑːlə
